"invoice_number";"buy_code";"inv_date";"pay_code";"inv_price";"cus_id"
100;"TEL";"2004-03-01";"AMEX";43.74;1000
101;"TEL";"2004-03-01";"MAST";35.62;1001
102;"INT";"2004-03-01";"MAST";43.81;1002
103;"STO";"2004-03-01";"MAST";27.97;1003
104;"TEL";"2004-03-01";"CHEC";409.73;1004
105;"TEL";"2004-03-01";"CASH";29.16;1005
106;"TEL";"2004-03-01";"OTHE";25.63;1006
107;"STO";"2004-03-01";"AMEX";48.27;1007
108;"STO";"2004-03-01";"OTHE";50.16;1008
109;"STO";"2004-03-01";"CHEC";68.38;1009
110;"STO";"2004-03-01";"AMEX";22.79;1010
111;"TEL";"2004-03-01";"MAST";23.3;1011
112;"INT";"2004-03-01";"CASH";29.63;1012
113;"TEL";"2004-03-01";"MAST";25.36;1013
114;"STO";"2004-03-02";"CASH";20.51;1014
115;"STO";"2004-03-02";"CHEC";22.12;1015
116;"STO";"2004-03-02";"MAST";50.76;1016
117;"TEL";"2004-03-02";"MAST";38.19;1017
118;"INT";"2004-03-02";"MAST";25.36;1018
119;"STO";"2004-03-02";"VISA";43.32;1019
120;"INT";"2004-03-02";"MAST";20.98;1020
121;"INT";"2004-03-02";"OTHE";54.48;1021
122;"INT";"2004-03-02";"OTHE";133.11;1022
123;"TEL";"2004-03-02";"OTHE";29.16;1023
124;"STO";"2004-03-02";"CASH";45.58;1024
125;"TEL";"2004-03-02";"MAST";22.79;1025
126;"INT";"2004-03-02";"AMEX";44.46;1026
127;"STO";"2004-03-02";"VISA";20.51;1027
128;"TEL";"2004-03-02";"MAST";62.33;1028
129;"INT";"2004-03-02";"MAST";34.2;1029
130;"STO";"2004-03-02";"MAST";18.64;1030
131;"TEL";"2004-03-02";"AMEX";56.56;1031
132;"STO";"2004-03-02";"AMEX";20.98;1032
133;"STO";"2004-03-02";"OTHE";22.79;1033
134;"STO";"2004-03-02";"OTHE";41.03;1034
135;"STO";"2004-03-02";"AMEX";20.51;1035
136;"TEL";"2004-03-02";"MAST";15.96;1036
137;"STO";"2004-03-02";"CHEC";45.32;1037
138;"TEL";"2004-03-02";"MAST";18.64;1038
139;"TEL";"2004-03-03";"OTHE";28.98;1039
140;"INT";"2004-03-03";"AMEX";22.79;1040
141;"INT";"2004-03-03";"CHEC";27.97;1041
142;"TEL";"2004-03-03";"OTHE";20.51;1042
143;"STO";"2004-03-03";"CASH";22.79;1043
144;"STO";"2004-03-03";"AMEX";59.55;1044
145;"INT";"2004-03-03";"MAST";27.97;1045
146;"TEL";"2004-03-03";"OTHE";15.96;1046
147;"INT";"2004-03-03";"OTHE";25.36;1047
148;"STO";"2004-03-03";"CASH";81.18;1048
149;"INT";"2004-03-03";"CHEC";41.96;1049
150;"STO";"2004-03-03";"MAST";22.12;1050
151;"STO";"2004-03-03";"OTHE";57.76;1051
152;"INT";"2004-03-03";"AMEX";22.51;1052
153;"STO";"2004-03-03";"OTHE";25.36;1053
154;"TEL";"2004-03-03";"CHEC";46.63;1054
155;"TEL";"2004-03-03";"CASH";20.58;1055
156;"INT";"2004-03-03";"CHEC";27.97;1056
157;"STO";"2004-03-03";"MAST";37.98;1057
158;"STO";"2004-03-03";"CHEC";25.63;1058
159;"INT";"2004-03-03";"VISA";12.83;1059
160;"TEL";"2004-03-03";"AMEX";38.75;1060
161;"STO";"2004-03-03";"CHEC";53.05;1061
162;"INT";"2004-03-03";"VISA";15.96;1062
163;"STO";"2004-03-04";"MAST";60.6;1063
164;"INT";"2004-03-04";"OTHE";17.3;1064
165;"INT";"2004-03-04";"MAST";53.63;1065
166;"INT";"2004-03-04";"CHEC";109.97;1066
167;"STO";"2004-03-04";"MAST";22.79;1067
168;"TEL";"2004-03-04";"VISA";29.16;1068
169;"TEL";"2004-03-04";"VISA";20.78;1069
170;"INT";"2004-03-04";"CHEC";22.04;1070
171;"STO";"2004-03-04";"AMEX";23.03;1071
172;"INT";"2004-03-04";"AMEX";25.36;1072
173;"INT";"2004-03-04";"OTHE";72.04;1073
174;"INT";"2004-03-04";"VISA";22.79;1074
175;"STO";"2004-03-04";"AMEX";92.1;1075
176;"STO";"2004-03-04";"MAST";25.08;1076
177;"INT";"2004-03-04";"MAST";69.96;1077
178;"INT";"2004-03-04";"OTHE";48.48;1078
179;"STO";"2004-03-04";"VISA";39.22;1079
180;"TEL";"2004-03-04";"OTHE";34.81;1080
181;"STO";"2004-03-04";"AMEX";26.83;1081
182;"STO";"2004-03-04";"AMEX";42.63;1082
183;"STO";"2004-03-04";"CHEC";22.79;1083
